	label	sentence
392730	1	 Timbellus lightbourni is a species of sea snail a marine gastropod mollusk in the family Muricidae the murex snails or rock snails.
388793	1	 Iolaus frater the Brotherly Sapphire is a butterfly in the Lycaenidae family. It is found in Nigeria Cameroon Equatorial Guinea the Republic of Congo the Democratic Republic of Congo and Tanzania. The habitat consists of upland forests just below the submontane level.The larvae feed on Tapinanthus erectotruncatus and Tapinanthus dependens.
384815	1	 Acrocercops apoblepta is a moth of the Gracillariidae family. It is known from Queensland.
399236	1	 Pseudosphenoptera boyi is a moth in the Arctiidae family. It is found in Brazil.
376745	1	 Ardistomis is a genus of beetles in the family Carabidae containing the following species: Ardistomis aeneus Putzeys 1866 Ardistomis alticola Darlington 1935 Ardistomis annona Putzeys 1846 Ardistomis arechavaletae Putzeys 1866 Ardistomis aschnae Makhan 2010 Ardistomis atripennis Putzeys 1866 Ardistomis brevis Putzeys 1866 Ardistomis constrictus Putzeys 1846 Ardistomis convexus Putzeys 1866 Ardistomis cordicollis Putzeys 1846 Ardistomis curtus Putzeys 1866 Ardistomis dubius Putzeys 1846 Ardistomis dyschirioides Putzeys 1846 Ardistomis eductus Bates 1881 Ardistomis elongatulus Putzeys 1866 Ardistomis fasciolatus Putzeys 1846 Ardistomis franki Nichols 1988 Ardistomis glabratus Putzeys 1866 Ardistomis guadeloupensis Kult 1950 Ardistomis haemorrhous Putzeys 1866 Ardistomis hispaniolensis Nichols 1988 Ardistomis leprieurii (Chaudoir 1843) Ardistomis lindrothi Kult 1950 Ardistomis mannerheimi Putzeys 1846 Ardistomis marquardti Kult 1950 Ardistomis morio (Dejean 1831) Ardistomis nigroclarus Darlington 1939 Ardistomis nitidipennis Darlington 1934 Ardistomis obliquatus Putzeys 1846 Ardistomis ogloblini Kult 1950 Ardistomis oxygnathus (Chaudoir 1843) Ardistomis posticalis Putzeys 1866 Ardistomis profundestriatus Putzeys 1866 Ardistomis quadripunctatus Kult 1950 Ardistomis quixotei Valdes 2007 Ardistomis ramsdeni Darlington 1937 Ardistomis rufoclarus Darlington 1939 Ardistomis schaumii Leconte 1857 Ardistomis semipunctatus (Dejean 1831) Ardistomis seriepunctatus (Brulle 1843) Ardistomis striga Putzeys 1866 Ardistomis tropicalis Putzeys 1846 Ardistomis tuspanensis Putzeys 1846 Ardistomis unicolor Putzeys 1846 Ardistomis venustulus Putzeys 1866↑
360393	1	 Euphaedra abri is a butterfly in the Nymphalidae family. It is found in Gabon.
399431	1	 Eupterocerina conjuncta is a species of ulidiid or picture-winged fly in the genus Eupterocerina of the family Tephritidae.
397618	1	 The genus Neptis established by Hübner in 1819 is invalid; see Vila (butterfly).Neptis is a large genus of butterflies of Old World tropics subtropics. They are commonly called sailer butterflies or sailers or more precisely typical sailers to distinguish them from the related blue sailer (Pseudoneptis).
399458	1	 Gibberula oriens is a species of very small sea snail a marine gastropod mollusk or micromollusk in the family Cystiscidae.
395936	1	 Chiloglanis carnosus is a species of upside-down catfish endemic to the Democratic Republic of the Congo where it occurs in rapids of the lower Congo River. This species grows to a length of 6.1 centimetres (2.4 in) TL.
396296	1	 Antirhyacia is a genus of moths of the Noctuidae family.
362129	1	 Hewitsonia boisduvalii the Large Tiger Blue is a butterfly in the Lycaenidae family. It is found in Guinea Liberia Ivory Coast Ghana Nigeria (south and the Cross River loop) Cameroon Gabon the Republic of Congo and the Central African Republic. The habitat consists of primary and secondary forests with a closed canopy.
388919	1	 The golden mola hap (Mylochromis incola) is a species of cichlid endemic to Lake Malawi where it is found in shallow vegetated waters. This species can reach a length of 19.9 centimetres (7.8 in) TL. This species can also be found in the aquarium trade.
387217	1	 Pseudotomoxia kamerunesis is a species of beetle in the Pseudotomoxia genus that is in the Mordellidae family which is a part of the Tenebrionoidea superfamily. It was described in 1948 By Ermich.
367879	1	 Otites bivittata is a species of ulidiid or picture-winged fly in the genus Otites of the family Tephritidae.
369052	1	 Cerithiopsis agulhasensis is a species of very small sea snails marine gastropod molluscs in the family Cerithiopsidae. It was described by Thiele in 1925.
391120	1	 Clathrina antofagastensis is a species of sponge in the genus Clathrina from Chile. The species is named after Antofagasta Chile where the holotype was discovered.
382976	1	 Scotura occidentalis is a moth of the Notodontidae family. It is found in southern Ecuador.The length of the forewings is 13-14 mm for males and 14 mm for females. The ground color of the forewings is gray-brown to slate gray to gray-brown slightly lighter at the base. The ground color of the hindwings is slate gray to dark gray with a blue iridescence.
394512	1	 The Golden Cuckooshrike (Campochaera sloetii) is a species of bird in the Campephagidae family. It is monotypic within the genus Campochaera.It is found in Indonesia and Papua New Guinea.Its natural habitat is subtropical or tropical moist lowland forests.
380631	1	 The Rusty-flanked Treecreeper (Certhia nipalensis) or the Nepal Treecreeper is a species of bird in the Certhiidae family.It is found in Bhutan China India Myanmar and Nepal.Its natural habitats are boreal forests and temperate forests.
380968	1	 Protobrotula is an extinct genus of prehistoric bony fish that lived during the early Oligocene epoch.
398835	1	 Acrocercops doloploca is a moth of the Gracillariidae family. It is known from Queensland.
395077	1	 Caloptilia syrphetias is a moth of the Gracillariidae family. It is known from Brunei China (Sichuan Fujian Hubei) Hong Kong India Indonesia (Sulawesi) Japan (Honshū Kyūshū the Ryukyu Islands) Malaysia (Pahang) Sri Lanka and Thailand.The wingspan is 13.5-16.5 mm.The larvae feed on Persea thunbergii. They mine the leaves of their host plant.
366671	1	 Orthogonius stygius is a species of ground beetle in the subfamily Orthogoniinae. It was described by Andrewes in 1930.
396391	1	 The buffalo darter Etheostoma bison is found in the tributaries of the lower Duck and lower Tennessee Rivers. Etheostoma bison is distinguished from other darter species by the presence of 8 anal rays as well breeding males having a unique hump behind the head reminiscent of a buffalo.
362396	1	 Naso lituratus is a species of fish in the family Acanthuridae the tangs and unicornfishes. Its common names include barcheek unicornfish clown tang masked unicornfish naso tang orange-spine surgeonfish orange-spine unicornfish Pacific orange-spine unicorn poll unicornfish redlip surgeonfish smooth-head unicornfish and striped unicornfish.This species can be found in the Indian Ocean and the Pacific Ocean.
381830	1	 The White-clubbed Swift or Black & White Swift (Sabera caesina) is a butterfly of the Hesperiidae family. It is found in Queensland Papua New Guinea the Aru Islands and Irian Jaya.The wingspan is about 30 mm.The larvae of subspecies albifascia feed on Archontophoenix alexandrae Normanbya normanbyi and Calamus caryotoides. During the day it lives in a shelter made from a cut and folded leaf of the hostplant. Sabera caesina barina probably feeds on Licula or Calamus species.
377927	1	 Ochrota malagassa is a moth of the Arctiidae family. It was described by Strand in 1912. It is found in Madagascar.
396163	1	 Heterostegane ruberata is a moth of the Geometridae family. It is found in Madagascar.It has a wingspan of 17-18mm. The forewings are rather broad with the apex round-pointed whitish buff coarsely and profusely irrorated with ochraceous-tawny. The underside is pale with slight suffusions but without irrorations.
388666	1	 Turbonilla morenoi is a species of sea snail a marine gastropod mollusk in the family Pyramidellidae the pyrams and their allies.
372608	1	 The Western Hercules Beetle (Dynastes granti) is a species of rhinoceros beetle that lives in Arizona and Utah and in Mexico. It appears in August or September and grows to a size of 50–80 millimeters (2.0–3.1 in). The imagos usually live 2-4 months and the larvae may spend 2-3 years before they turn into adults. They are nocturnal and often attracted to lights and they are among the biggest beetles found in the U.S.
368644	1	 The White-headed Bulbul (Hypsipetes thompsoni) is a songbird species in the bulbul family (Pycnonotidae). It is the sometimes separated in a monotypic genus Cerasophila (literally meaning cherry-lover).It is found in Burma Thailand and Vietnam. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests. It is not considered a threatened species by the IUCN.
383968	1	 Phenacovolva aurantia is a species of sea snail a marine gastropod mollusk in the family Ovulidae the ovulids cowry allies or false cowries.
375533	1	 The Goldspotted eel (Myrichthys ocellatus also known as the Goldspotted snake eel or the Dark-spotted snake eel) is an eel in the family Ophichthidae (worm/snake eels). It was described by Charles Alexandre Lesueur in 1825 originally under the genus Muraenophis. It is a marine tropical eel which is known from the western and eastern Atlantic Ocean including Bermuda southern Florida USA; the Bahamas Santa Catarina and Brazil.
364277	1	 The Fulmar Prion (Pachyptila crassirostris) is a species of seabird in the Procellariidae family found in the southern oceans
363949	1	 Glyphipterix aulogramma is a species of sedge moths in the genus Glyphipterix. It was described by Edward Meyrick in 1908. It is found in New Zealand.
399569	1	 Tipula fascipennis is a species of True Craneflies.
386284	1	 The Mottled Tree Frog (Philautus poecilius) is a species of frog in the Rhacophoridae family.It is endemic to the Philippines.Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.It is threatened by habitat loss.
371259	1	 Mordella tetraspilota is a species of beetle in the Mordella genus that is in the Mordellidae family which is a part of the Tenebrionoidea superfamily. It was discovered in 1891.
365049	1	 Eucosmophora schinusivora is a moth of the Gracillariidae family. It is found in Brazil (Paraná).The larvae feed on Schinus terebinthifolus. They mine the leaves of their host plant.
373665	1	 The Battling Glider (Cymothoe alcimeda) is a butterfly of the Nymphalidae family. It is found in South Africa and Zimbabwe.The wingspan is 40-50 mm for males and 45-55 mm for females. Adults are on wing year round but mainly in summer from October onwards. Peaks occur in November and from February to April.The larvae feed on Kiggelaria africana.
380479	1	 Suillia dawnae is a European species of Heleomyzidae.
382517	1	 Chrysallida brevicula is a species of sea snail a marine gastropod mollusk in the family Pyramidellidae the pyrams and their allies. The species is one of multiple species within the Chrysallida genus of gastropods.
399205	1	 Homolodromiidae is a family of crabs the only family in the superfamily Homolodromioidea. In contrast to other crabs including the closely related Homolidae there is no strong linea homolica along which the exoskeleton breaks open during ecdysis. The family comprises two genera Dicranodromia which has 18 species and Homolodromia with five species.
369004	1	 Bucculatrix plucheae is a moth in the Bucculatricidae family. It is found in North America where it has been recorded from Florida.The wingspan is about 5 mm. The forewings are brown with a narrow straight white streak from the base of the wing running parallel to the fold for nearly half the wing length. This streak is bordered on each side by a single line of blackish brown scales. The hindwings are dark greyish brown.
398881	1	 Peridroma is a genus of moths of the Noctuidae family.
380963	1	 The African helmeted turtle (Pelomedusa subrufa) also known as the marsh terrapin or crocodile turtle is an omnivorous side-necked terrapin that naturally occurs in fresh and stagnant water bodies throughout much of Africa and even in southern Yemen.
374305	1	 Gymnobela oculifera is a species of sea snail a marine gastropod mollusk in the family Raphitomidae.
383233	1	 Schrankia bruntoni is a moth of the Noctuidae family. It is found on Borneo (Brunei).
394911	1	 Coleophora peisoniella is a moth of the Coleophoridae family. It is found in France Austria Slovakia Hungary Romania and southern Russia.The larvae feed on Artemisia maritima. They feed on the generative organs of their host plant.
369269	1	 Hapalogaster cavicauda is a species of king crab that lives on the Pacific coast of North America.
385973	1	 Udea swezeyi is a moth of the Crambidae family. It is endemic to Kauai.
388522	1	 Copelatus luteomaculatus is a species of diving beetle. It is part of the Copelatus genus which is of the Copelatinae subfamily and the Dytiscidae family. It was described by Guignot in 1956.
367895	1	 Ganyra howarthi Howarth's White is a butterfly in the Pieridae family. It is found along the coast in the southern half of Baja California and Sonora in Mexico. It is also found in extreme southern Arizona. The habitat consists of thorn forests and desert scrubs.The wingspan is 45–48 mm (1.8–1.9 in). The upperside is white. The forewing has black wedges at the apex and outer margins and a black cell spot. The female forewing markings are more diffuse with additional postmedian black spots.
392912	1	 Paziella primanova is a species of sea snail a marine gastropod mollusk in the family Muricidae the murex snails or rock snails.
381015	1	 Azaera muciella is a species of snout moth. It was described by Schaus in 1913. It is found in Central America including Costa Rica and Panama.
394942	1	 Takydromus commonly called grass lizards or oriental racers is a lizard genus whose members inhabit a large part of Asia. Members of this genus are noticeable because of their slender appearance and their agile movements. The word takydromus derives from Greek ταχυδρόμος (takhudromos) fast-running from ταχύς (takhus) swift + δρόμος (dromos) course race.
379356	1	 Pseudoceros scriptus is a marine flatworm species that belongs to the Pseudocerotidae family.
362648	1	 Recilia rugulans is a species of bug from Cicadellidae family that can be found in South Africa and Swaziland.
383629	1	 Triodus is an extinct genus of xenacanthidan shark that lived in the Permian. It was a freshwater shark and fossils have been found in Germany.
386972	1	 The Spotted Bowerbird (Chlamydera maculata) is a bowerbird widely distributed across inland Queensland and New South Wales.
392872	1	 Bebearia chriemhilda is a butterfly in the Nymphalidae family. It is found along the coasts of Kenya and Tanzania. The habitat consists of coastal forests.Adults are attracted to fermenting fruit.The larvae feed on Hyphaene species
362526	1	 Turbo fluctuosus common name the wavy turban is a species of sea snail marine gastropod mollusk in the family Turbinidae.
367510	1	 Arubolana imula is a species of crustacean in the family Cirolanidae endemic to Aruba. It was described in 1979 by Lazare Botosaneanu and Jan Hendrik Stock.
364832	1	 Goubinia is a very small genus of sea snails marine gastropod mollusks in the family Eulimidae.
374990	1	 Eulimella digenes is a species of sea snail a marine gastropod mollusk in the family Pyramidellidae the pyrams and their allies.
363403	1	 Aphanophleps is a genus of moth in the family Geometridae.
372051	1	 Heliothodes joaquin is a species of moth of the Noctuidae family. It is found in the United States including Oregon and California.It was placed as a synonym of Heliothodes diminutiva by Harwick in a 1996. Officially it is still a synonym but it seems to be a proper species and will probably be re-elevated to species level[citation needed].
386417	1	 Springtails (Collembola) form the largest of the three lineages of modern hexapods that are no longer considered insects (the other two are the Protura and Diplura).
361446	1	 The Lake Rukwa sardine (Chelaethiops rukwaensis) is an African species of freshwater fish in the Cyprinidae family.It is found only in Tanzania.Its natural habitat is freshwater lakes.It is threatened by habitat loss.
364280	1	 Haplochromis labiatus is a species of cichlid found in the Democratic Republic of the Congo and Uganda where it is found in Lake Edward and Lake George. This species can reach a length of 10.9 centimetres (4.3 in) SL.
365627	1	 Essonistis is a genus of moths of the Noctuidae family.
377776	1	 Josia gigantea is a moth of the Notodontidae family. It is found from southern Mexico to Colombia.Larvae have been recorded on Passiflora sexflora and Passiflora apatela in Costa Rica.
398790	1	 Aleuron carinata is a moth of the Sphingidae family. It was described by Walker in 1856 and is known from southern Mexico Panama Venezuela Brazil Bolivia Costa Rica Belize and Ecuador.The wingspan is 62-86 mm. Adults are on wing at least from July to January in Costa Rica and in June in Panama.The larvae feed on Doliocarpus dentatus Curatella americana and probably other Dilleniaceae species.
384086	1	 The horsehair crab Erimacrus isenbeckii (Japanese: ケガニ kegani) is a species of crab which is found in the Sea of Okhotsk and the Pacific Ocean and is frequently used in Japanese cuisine.
362385	1	 Holoparasitus is a genus of mites in the family Parasitidae.
370673	1	 Achaea echo is a species of moth of the Noctuidae family. It is found from Equatorial West Africa to Zimbabwe including Sierra Leone Ghana and South Africa. The larvae feed on Poaceae and Panicum species but have also been recorded on Citrus.
394907	1	 Agrotis coquimbensis is a moth of the Noctuidae family. It is found in the Coquimbo Region of Chile.The wingspan is about 34 mm.
365812	1	 This article is about a single species of tortoise. For related species in North America that are also called gopher tortoises see GopherusThe gopher tortoise (Gopherus polyphemus) is a species of the Gopherus genus native to the southeastern United States. The gopher tortoise is seen as a keystone species because it digs burrows that provide shelter for 360 other animal species.
393457	1	 The southern black bream Acanthopagrus butcheri (also known as the black bream southern bream and blue-nosed bream) is a species of marine and freshwater fish of the porgy family Sparidae. It is a deep-bodied fish occasionally confused with other similar species that occur within its range but is generally distinguished from these species by a lack of yellow ventral and anal fins.
367441	1	 The Pigmy short-horned lizard (Phrynosoma douglassii) is a small lizard that occurs in North America. Like other horned lizards it is often called the horned toad or horny toad but it is not a toad at all. It is a reptile not an amphibian.
398992	1	 Aechmophorusis a genus of birds in the grebe family.It has two living representatives breeding in western North America.Western Grebe Aechmophorus occidentalisClark's Grebe Aechmophorus clarkiiOne prehistoric species has been described from fossil remains:Aechmophorus elasson (Late Pliocene of W USA) Although the two living species look very similar bill shape and coloration as well as feathering around the scarlet eye of the bird can be used to determine the precise species.
367163	1	 Bembecia sanguinolenta is a moth of the Sesiidae family. It is found from Bulgaria and Greece to Asia Minor Armenia Syria and Turkmenistan.The larvae feed on the roots of Astragalus species including Astragalus dipsaceus and Astragalus pinetorum.
378955	1	 Collidosuchus is an extinct genus of archegosauroidean temnospondyl within the family Archegosauridae.
385267	1	 Anthidium friesei is a species of bee in the family Megachilidae the leaf-cutter carder or mason bees.
